item_id,source_article,linked_pmcid,review_status,risk_tier,pmc_risk_class,exact_alias_hits,escc_hits,caupr_hits,caf_hits,interpretation,next_action
DG001,Epigenetic and Tumor Microenvironment for Prognosis of Patients with Gastric Cancer.,PMC10216680,auto_xml_reviewed_no_direct_escc_duplication,low,exact_alias_non_escc_or_review_context,2,0,4,30,PMC XML did not show a direct TMEM158-ESCC axis/ecology duplication signal.,Manual supplement check only if article has downloadable supplementary tables.
DG002,TMEM158 promotes pancreatic cancer aggressiveness by activation of TGFβ1 and PI3K/AKT signaling pathway.,,manual_required_publisher_fulltext_or_supplement,manual,,,,,,No successful automated PMC XML review was available; publisher full text and supplementary files remain unresolved.,"Download publisher HTML/PDF and supplementary tables, then rerun local file scan."
DG003,"TMEM158, as plasma cfRNA marker, promotes proliferation and doxorubicin resistance in ovarian cancer.",,manual_required_publisher_fulltext_or_supplement,manual,,,,,,No successful automated PMC XML review was available; publisher full text and supplementary files remain unresolved.,"Download publisher HTML/PDF and supplementary tables, then rerun local file scan."
DG004,Multidimensional bioinformatics analysis reveals the potential carcinogenic role of acrylamide in colorectal cancer.,,manual_required_publisher_fulltext_or_supplement,manual,,,,,,No successful automated PMC XML review was available; publisher full text and supplementary files remain unresolved.,"Download publisher HTML/PDF and supplementary tables, then rerun local file scan."
DG005,Oncogenic transmembrane protein 158 drives the PI3K/Akt signaling pathway to accelerate gastric cancer cell growth.,PMC10644964,auto_xml_reviewed_no_direct_escc_duplication,low,exact_alias_non_escc_or_review_context,115,0,0,0,PMC XML did not show a direct TMEM158-ESCC axis/ecology duplication signal.,Manual supplement check only if article has downloadable supplementary tables.
DG006,TMEM158 May Serve as a Diagnostic Biomarker for Anaplastic Thyroid Carcinoma: An Integrated Bioinformatic Analysis.,,manual_required_publisher_fulltext_or_supplement,manual,,,,,,No successful automated PMC XML review was available; publisher full text and supplementary files remain unresolved.,"Download publisher HTML/PDF and supplementary tables, then rerun local file scan."
DG007,TMEM158 promotes the proliferation and migration of glioma cells via STAT3 signaling in glioblastomas.,PMC9395270,auto_xml_reviewed_context_boundary,boundary,manual_high_priority_exact_alias_escc_context,220,2,1,5,"Exact TMEM158/RIS1 alias co-occurred with ESCC-like or signature/stroma terms in PMC XML, but source title/context indicates non-ESCC primary article or broad review; no direct TMEM158-ESCC TAC/CaUPR duplicate was detected by XML scan.",Manual supplement check only if article has downloadable supplementary tables.
DG008,Over-expression of Transmembrane Protein 158 Predicts Aggressive Tumor Behavior and Poor Prognosis in Lung Cancer.,,manual_required_publisher_fulltext_or_supplement,manual,,,,,,No successful automated PMC XML review was available; publisher full text and supplementary files remain unresolved.,"Download publisher HTML/PDF and supplementary tables, then rerun local file scan."
DG009,"Systematic pan-cancer analysis identifies transmembrane protein 158 as a potential therapeutic, prognostic and immunological biomarker.",,manual_required_publisher_fulltext_or_supplement,manual,,,,,,No successful automated PMC XML review was available; publisher full text and supplementary files remain unresolved.,"Download publisher HTML/PDF and supplementary tables, then rerun local file scan."
DG010,Illustrating the biological functions and diagnostic value of transmembrane protein family members in glioma.,PMC10102456,auto_xml_reviewed_no_direct_escc_duplication,low,exact_alias_non_escc_or_review_context,21,0,0,13,PMC XML did not show a direct TMEM158-ESCC axis/ecology duplication signal.,Manual supplement check only if article has downloadable supplementary tables.
DG011,Normal cellular senescence and cancer susceptibility in mice genetically deficient in Ras-induced senescence-1 (Ris1).,,manual_required_publisher_fulltext_or_supplement,manual,,,,,,No successful automated PMC XML review was available; publisher full text and supplementary files remain unresolved.,"Download publisher HTML/PDF and supplementary tables, then rerun local file scan."
DG012,Identification of a candidate tumor-suppressor gene specifically activated during Ras-induced senescence.,,manual_required_publisher_fulltext_or_supplement,manual,,,,,,No successful automated PMC XML review was available; publisher full text and supplementary files remain unresolved.,"Download publisher HTML/PDF and supplementary tables, then rerun local file scan."
DG013,Research progress on TMEM proteins in cancer progression and chemoresistance (Review).,PMC12530797,auto_xml_reviewed_context_boundary,boundary,manual_high_priority_exact_alias_escc_context,52,14,14,28,"Exact TMEM158/RIS1 alias co-occurred with ESCC-like or signature/stroma terms in PMC XML, but source title/context indicates non-ESCC primary article or broad review; no direct TMEM158-ESCC TAC/CaUPR duplicate was detected by XML scan.",Manual supplement check only if article has downloadable supplementary tables.
DG014,Integrative multimodal transcriptomics identifies a cancer-associated fibroblast membrane signature for predicting prognosis and therapeutic response in pancreatic ductal adenocarcinoma.,PMC13053443,auto_xml_reviewed_no_direct_escc_duplication,low,exact_alias_non_escc_or_review_context,12,0,0,228,PMC XML did not show a direct TMEM158-ESCC axis/ecology duplication signal.,Manual supplement check only if article has downloadable supplementary tables.
