claim_id,category,priority,source_path,source_value,expected_fragments,status,notes
expression_TCGA,tumour_normal_expression,critical,04_results/expression/tmem158_tumor_normal_tests.csv,n_tumor=184; n_normal=13; delta=2.65989684699493; FDR=0.000168990319172377,"TCGA (184 tumours, 13 normals; median difference 2.660; FDR=1.69e-4) | 184 tumours, 13 normals; median difference 2.660; FDR=1.69e-4",pass,
expression_GSE20347,tumour_normal_expression,critical,04_results/expression/tmem158_tumor_normal_tests.csv,n_tumor=17; n_normal=17; delta=1.27937319661257; FDR=0.0382266687650498,"GSE20347 (17 tumours, 17 normals; median difference 1.279; FDR=0.0382) | 17 tumours, 17 normals; median difference 1.279; FDR=0.0382",pass,
expression_GSE26886,tumour_normal_expression,critical,04_results/expression/tmem158_tumor_normal_tests.csv,n_tumor=9; n_normal=19; delta=3.82982064574591; FDR=0.00260261477652782,"GSE26886 (9 tumours, 19 normals; median difference 3.830; FDR=0.00260) | 9 tumours, 19 normals; median difference 3.830; FDR=0.00260",pass,
expression_GSE45670,tumour_normal_expression,critical,04_results/expression/tmem158_tumor_normal_tests.csv,n_tumor=28; n_normal=10; delta=0.0516256059492939; FDR=0.986995017973711,"GSE45670 (28 tumours, 10 normals; median difference 0.052; FDR=0.987) | 28 tumours, 10 normals; median difference 0.052; FDR=0.987",pass,
tcga_tac_high_survival_boundary,survival_boundary,critical,04_results/survival/tmem158_ecology_state_survival.csv,HR=1.32572005567139; FDR=0.98206208755462,TAC_high subtype term had HR=1.326 with FDR=0.982,pass,
cross_layer_tcga_axis-caf_discovery,axis_first_candidate_evidence,critical,04_results/validation/tmem158_cross_layer_evidence.csv,TCGA axis-CAF discovery rho=0.668406794333305,TCGA axis-CAF discovery rho of 0.668,pass,
cross_layer_gse45670_pretreatment_validation,axis_first_candidate_evidence,critical,04_results/validation/tmem158_cross_layer_evidence.csv,GSE45670 pretreatment validation rho=0.474548440065681,GSE45670 validation rho of 0.475,pass,
cross_layer_depmap_escc_basal_branch,axis_first_candidate_evidence,critical,04_results/validation/tmem158_cross_layer_evidence.csv,DepMap ESCC basal branch rho=0.402824055254342,DepMap ESCC basal branch rho of 0.403,pass,
gse45670_negative_ca2_axis_boundary,axis_boundary,boundary,04_results/enrichment/tmem158_axis_correlations_by_dataset.csv,rho=-0.582922824302135; FDR=0.0069252910209817,GSE45670 showed positive CAF coupling but a negative Ca2-axis correlation,pass,The manuscript states the direction without printing the exact rho.
bulk_tac_high_counts,rule_defined_state,critical,04_results/validation/tmem158_rule_ecology_subtype_counts.csv,GSE20347 (n=5); GSE26886 (n=4); GSE45670 (n=8); TCGA (n=58),"GSE20347 (n=5); GSE26886 (n=4); GSE45670 (n=8); TCGA (n=58) | GSE20347 (n=5), GSE26886 (n=4), GSE45670 (n=8) and TCGA (n=58)",pass,
