document,line_number,category,severity,term,status,excerpt,recommendation
README.md,178,wet_lab_performed,high,IHC,boundary_statement,"transmembrane-protein candidate with public antibody/IHC context, but does",No text change required if the negating boundary remains clear.
README.md,181,immune_suppression,medium,T-cell exhaustion,acceptable_boundary_context,"T-cell exhaustion, Treg, or suppressive myeloid claims after FDR correction.",No text change required if the negating boundary remains clear.
README.md,342,direct_spatial_or_lr,medium,ligand-receptor causality,acceptable_boundary_context,"This layer ranks POSTN/FN1/collagen-integrin and MIF-CXCR4 candidates for defined-partner co-modelling and orthogonal assays only. It does not prove ligand-receptor causality, receptor activation, TMEM158 binding or physical CAF-to-epithelial communication.",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,11,clinical_prognosis,high,prognostic biomarker,acceptable_boundary_context,"Calcium homeostasis, unfolded protein response (UPR) branch activity and stromal remodelling are incompletely integrated in oesophageal squamous cell carcinoma (ESCC). We performed an axis-first public-data analysis to identify upstream candidates associated with a Ca2/UPR stress ecology. TMEM158 emerged as a computational entry point, rather than as a standalone prognostic biomarker. We defined TAC_high as the co-oc",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,21,causal_driver,high,causal,acceptable_boundary_context,"Public expression compendia provide an opportunity to test whether such ecology-level states are reproducible across independent ESCC cohorts. In preliminary candidate screening, an earlier SMIM14-centred model did not support a strong causal, prognostic or treatment-resistance interpretation. We therefore rebuilt the analysis around a Ca2/UPR axis-first strategy. This screen selected TMEM158 as the lead computationa",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,23,causal_driver,high,causal,acceptable_boundary_context,"Here, we asked whether TMEM158 marks a reproducible Ca2/UPR-CAF ecology state in ESCC. We deliberately avoided framing TMEM158 as a validated causal driver. Instead, we tested tumour-normal expression, Ca2/UPR branch coupling, CAF ecology, rule-defined TAC_high reproducibility, single-cell immune/stromal boundaries, TCGA multi-omics context and public protein/topology support.",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,23,causal_driver,high,driver,acceptable_boundary_context,"Here, we asked whether TMEM158 marks a reproducible Ca2/UPR-CAF ecology state in ESCC. We deliberately avoided framing TMEM158 as a validated causal driver. Instead, we tested tumour-normal expression, Ca2/UPR branch coupling, CAF ecology, rule-defined TAC_high reproducibility, single-cell immune/stromal boundaries, TCGA multi-omics context and public protein/topology support.",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,23,validated_mechanism,high,validated causal driver,acceptable_boundary_context,"Here, we asked whether TMEM158 marks a reproducible Ca2/UPR-CAF ecology state in ESCC. We deliberately avoided framing TMEM158 as a validated causal driver. Instead, we tested tumour-normal expression, Ca2/UPR branch coupling, CAF ecology, rule-defined TAC_high reproducibility, single-cell immune/stromal boundaries, TCGA multi-omics context and public protein/topology support.",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,49,validated_mechanism,high,validated clinical-survival subtype,acceptable_boundary_context,"We further tested whether the TAC_high signal exceeded random state assignment within each cohort. Cohort-preserving permutation analysis showed the strongest specificity for drug-efflux transcriptional readout (weighted median delta=0.543, empirical two-sided P=0.00350, empirical FDR=0.0105). Proteostasis showed a positive but not FDR-confirmed specificity trend (delta=0.349, empirical two-sided P=0.0815, empirical ",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,57,validated_mechanism,high,validated drug-resistance or survival subtype,acceptable_boundary_context,"We then modelled the interaction between core-high and CAF-high status to ask whether TAC_high exceeded the additive components of axis-high and CAF-high states. This interaction model was testable in three cohorts. It did not identify individual genes at FDR<0.10, so it should not be interpreted as a single-gene synergy signature. However, pathway-level analysis showed positive enrichment for translation, oxidative ",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,79,immune_suppression,medium,T-cell exhaustion,acceptable_boundary_context,"In GSE160269 single-cell pseudo-bulk data, rule-defined TAC_high could be mapped across 60 matched tumour samples (TAC_high=14, Axis_only=16, CAF_only=16, TAC_low=14). However, TAC_high was not accompanied by robust immune-suppression signals after FDR correction. Treg score, suppressive-myeloid score, inflammatory-myeloid score, T-cell exhaustion score and T-cell cytotoxicity score all had FDR=0.938. Thus, TAC_high ",No text change required if the negating boundary remains clear.
07_manuscript/manuscript.md,79,immune_suppression,medium,T-cell exhaustion,acceptable_boundary_context,"In GSE160269 single-cell pseudo-bulk data, rule-defined TAC_high could be mapped across 60 matched tumour samples (TAC_high=14, Axis_only=16, CAF_only=16, TAC_low=14). However, TAC_high was not accompanied by robust immune-suppression signals after FDR correction. Treg score, suppressive-myeloid score, inflammatory-myeloid score, T-cell exhaustion score and T-cell cytotoxicity score all had FDR=0.938. Thus, TAC_high ",No text change required if the negating boundary remains clear.
